Tube Line,From Station,To Station,Latitude_From,Longitude_From,Latitude_To,Longitude_To,Distance (km)
Bakerloo,Baker Street,Regents Park,51.52312936605881,-0.1569041929861845,51.523810437772845,-0.1453444097205957,0.8
Bakerloo,Charing Cross,Embankment,51.50835842818622,-0.1248029372330441,51.50731229694681,-0.1223673356621198,0.2
Bakerloo,Edgware Road (Bakerloo),Marylebone,51.520645084536135,-0.1705395498997404,51.52239640326536,-0.1634925623109129,0.53
Bakerloo,Embankment,Waterloo,51.50731229694681,-0.1223673356621198,51.50314645678346,-0.1132592512581959,0.78
Bakerloo,Harlesden,Willesden Junction,51.53625790862039,-0.2574956703770174,51.53223356661704,-0.243909139837678,1.04
Bakerloo,Harrow and Wealdstone,Kenton,51.59259408808769,-0.3342526785741267,51.5814957703514,-0.3152168608263206,1.8
Bakerloo,Kensal Green,Queens Park,51.53052384871879,-0.2247133811380436,51.53431231776354,-0.2047981469506716,1.44
Bakerloo,Kenton,South Kenton,51.5814957703514,-0.3152168608263206,51.57104394755128,-0.3081429717620929,1.26
Bakerloo,Kilburn Park,Maida Vale,51.53513522184343,-0.1939660549397059,51.5299947556212,-0.1854326449358559,0.82
Bakerloo,Lambeth North,Elephant and Castle,51.49912976538859,-0.1117682604602059,51.49584922002923,-0.1007387142562823,0.85
Bakerloo,Maida Vale,Warwick Avenue,51.5299947556212,-0.1854326449358559,51.52310413807906,-0.1829532911134564,0.79
Bakerloo,Marylebone,Baker Street,51.52239640326536,-0.1634925623109129,51.52312936605881,-0.1569041929861845,0.46
Bakerloo,North Wembley,Wembley Central,51.56239579644328,-0.3039482139132909,51.55186429753856,-0.2963923219160409,1.28
Bakerloo,Oxford Circus,Piccadilly Circus,51.51522317440166,-0.1408361701333405,51.50969653217059,-0.1337115961590762,0.79
Bakerloo,Paddington,Edgware Road (Bakerloo),51.51539350022652,-0.1757367502657722,51.520645084536135,-0.1705395498997404,0.69
Bakerloo,Piccadilly Circus,Charing Cross,51.50969653217059,-0.1337115961590762,51.50835842818622,-0.1248029372330441,0.63
Bakerloo,Queens Park,Kilburn Park,51.53431231776354,-0.2047981469506716,51.53513522184343,-0.1939660549397059,0.76
Bakerloo,Regents Park,Oxford Circus,51.523810437772845,-0.1453444097205957,51.51522317440166,-0.1408361701333405,1.0
Bakerloo,South Kenton,North Wembley,51.57104394755128,-0.3081429717620929,51.56239579644328,-0.3039482139132909,1.0
Bakerloo,Stonebridge Park,Harlesden,51.54398610565641,-0.2754004371046793,51.53625790862039,-0.2574956703770174,1.51
Bakerloo,Warwick Avenue,Paddington,51.52310413807906,-0.1829532911134564,51.51539350022652,-0.1757367502657722,0.99
Bakerloo,Waterloo,Lambeth North,51.50314645678346,-0.1132592512581959,51.49912976538859,-0.1117682604602059,0.46
Bakerloo,Wembley Central,Stonebridge Park,51.55186429753856,-0.2963923219160409,51.54398610565641,-0.2754004371046793,1.7
Bakerloo,Willesden Junction,Kensal Green,51.53223356661704,-0.243909139837678,51.53052384871879,-0.2247133811380436,1.34
C2C,Barking,Dagenham Dock,51.53952124839739,0.0808316104030654,51.52628743708208,0.1450310152885246,4.68
C2C,Barking,Upminster,51.53952124839739,0.0808316104030654,51.55876377100152,0.2514008048009922,11.99
C2C,Dagenham Dock,Purfleet,51.52628743708208,0.1450310152885246,51.48117339669361,0.2367748390971877,8.09
C2C,Dagenham Dock,Rainham,51.52628743708208,0.1450310152885246,51.517340830335705,0.1906919776381577,3.31
C2C,Fenchurch Street,Limehouse,51.51156657985079,-0.0785541524539051,51.51231210167662,-0.0393800776624937,2.71
C2C,Fenchurch Street,Stratford,51.51156657985079,-0.0785541524539051,51.54169257587399,-0.0037516410271907,6.17
C2C,Limehouse,West Ham,51.51231210167662,-0.0393800776624937,51.528525530726974,0.0053173938327879,3.58
C2C,Liverpool Street,Stratford,51.51759813225402,-0.0822496218888544,51.54169257587399,-0.0037516410271907,6.06
C2C,Ockendon,Chafford Hundred,51.52199012375081,0.2904834800234525,51.485554969647055,0.2874757055480307,4.06
C2C,Stratford,Barking,51.54169257587399,-0.0037516410271907,51.53952124839739,0.0808316104030654,5.86
C2C,Upminster,Ockendon,51.55876377100152,0.2514008048009922,51.52199012375081,0.2904834800234525,4.9
C2C,West Ham,Barking,51.528525530726974,0.0053173938327879,51.53952124839739,0.0808316104030654,5.37
Central,Bank,St. Pauls,51.51334691914183,-0.0890001234943746,51.51483513873988,-0.0975710001169853,0.62
Central,Barkingside,Fairlop,51.58585076146283,0.0884766401059262,51.59610969417489,0.0905932799159299,1.15
Central,Bethnal Green,Liverpool Street,51.52719165312213,-0.055392111450162,51.51759813225402,-0.0822496218888544,2.14
Central,Bond Street,Marble Arch,51.513797282327445,-0.1496136085316461,51.51396523465938,-0.1585712147927576,0.62
Central,Buckhurst Hill,Woodford,51.62657674004732,0.0467125414287692,51.60720190279034,0.0340562024166259,2.33
Central,Chancery Lane,Holborn,51.51849383581988,-0.1119620267624171,51.51723554139566,-0.1198405066029367,0.56
Central,Chigwell,Roding Valley,51.61785799974183,0.0761792153523027,51.61695652081232,0.0440262071266384,2.22
Central,Debden,Loughton,51.64549214152591,0.0838014752563246,51.641570570828016,0.0552790792874478,2.02
Central,East Acton,North Acton,51.51626301045364,-0.2481122212813141,51.52343200460989,-0.2597295239222282,1.13
Central,Epping,Theydon Bois,51.69368635497796,0.1138255535142121,51.67255225418,0.1028907368816818,2.47
Central,Fairlop,Hainault,51.59610969417489,0.0905932799159299,51.602845483752255,0.0941085508301524,0.79
Central,Gants Hill,Newbury Park,51.57655306294169,0.0660840980631794,51.57563850646377,0.0903031581978967,1.68
Central,Grange Hill,Chigwell,51.61348057933538,0.092272530168692,51.61785799974183,0.0761792153523027,1.21
